algorithm 3
Times	6279396	26319501	345876
Times	3355713	10152694	304636
Times	2534486	7645283	282396
Times	2570524	7528821	273157
Times	2632763	7713700	290077
Times	920069	7573174	279836
Times	506552	7627101	275436
Times	525071	7592845	274796
Times	500113	7587020	276076
Times	485633	7579894	286996
Times	479112	7550645	276556
Times	495155	7567252	262596
Times	473154	7595257	285156
cov: 0.0025447156759916094	mean: 946.4	iteration: 12
algorithm 3
Times	6548549	24439016	351875
Times	3051479	11207672	336157
Times	2951957	7995293	348356
Times	2872280	7796290	347555
Times	2911919	8122216	335996
Times	1205224	7896156	345395
Times	707750	7882809	386554
Times	596434	8100646	391634
Times	535193	8032975	335555
Times	568511	8065728	372796
Times	612352	8001377	305636
Times	451553	7645606	282637
Times	498713	7584009	287356
Times	1027145	7591009	288195
Times	1000623	7570388	292196
Times	1008109	7547897	286876
cov: 0.004658101722746755	mean: 948.0	iteration: 15
algorithm 3
Times	6132757	25676173	358277
Times	2900281	9717750	342995
Times	2575724	7611651	320715
Times	2587803	7616648	331235
Times	3071636	7933642	588754
Times	960869	8018964	327755
Times	534511	8385799	320156
Times	526314	7889568	310716
Times	480031	7512294	314995
Times	525674	7559738	322837
Times	492992	7918813	317355
Times	558472	8126847	329235
Times	523351	7621863	329916
Times	1044703	7634015	335994
Times	988824	7566299	332476
Times	1062864	8005527	326075
Times	1008668	7618945	324515
Times	1095228	8098741	339556
Times	574910	8028119	321915
Times	521432	7987977	326196
Times	502954	7591969	336115
Times	543193	8004645	337555
Times	505234	8674090	304678
Times	515752	7599561	323277
Times	505353	7516372	292356
Times	469553	7676016	319875
Times	472075	7545906	310595
Times	474992	7552262	302875
cov: 0.008126482493312779	mean: 946.8	iteration: 27
algorithm 3
Times	6156755	25659100	364555
Times	3016678	9924809	310635
Times	2438965	7583539	309676
Times	2473965	7598619	306315
Times	2562046	8002214	323835
Times	967387	7590889	315037
Times	559590	7613336	317196
Times	536831	7573327	302555
Times	540155	7577939	310675
Times	508273	7637295	304675
Times	492915	7515376	349796
Times	498272	7564611	322195
Times	504113	7712526	318515
cov: 0.010082134866181607	mean: 949.8	iteration: 12
