algorithm 3
Times	5678362	255197	253077
Times	3842311	213037	247876
Times	3275035	200636	231317
Times	3292594	205437	244356
Times	2792800	183078	230397
Times	2546487	187118	242118
Times	1323903	181395	231117
Times	1145145	184515	253555
Times	967148	191119	237236
Times	575671	182154	247436
Times	562235	181957	242116
Times	583152	196757	236036
Times	769870	191877	253637
Times	1289062	191677	234836
Times	1015305	183792	257358
Times	1061145	253118	237117
Times	1081506	185079	248638
Times	1096185	225400	255837
Times	1175946	244356	270156
Times	1177223	189557	236555
Times	727632	183597	238878
Times	555312	205879	272717
Times	509393	192038	257517
Times	477114	188360	247597
Times	573354	175877	241358
Times	499512	175758	255117
Times	488755	161439	242197
Times	491313	166557	234636
Times	485753	160319	242760
Times	479432	161597	232716
cov: 0.034450105356379386	mean: 4718.4	iteration: 12
algorithm 3
Times	5384247	246677	252797
Times	3708911	216998	230877
Times	3497271	223479	237757
Times	3525754	211917	244717
Times	2984841	197679	249156
Times	2681684	187757	224996
Times	1244624	193599	239877
Times	1251823	193074	260839
Times	954748	193159	242355
Times	488353	183037	229317
Times	507431	185517	231755
Times	509833	199796	236836
Times	491234	183316	230076
Times	1069109	189758	237157
Times	1043465	191153	232716
Times	981548	191760	235595
Times	1048305	212636	244516
Times	4014947	196237	231757
Times	1028306	208277	245116
Times	821388	197277	239676
Times	560913	209476	269475
Times	479394	204037	281676
Times	488473	189676	238958
Times	464673	184077	245718
Times	482752	201518	237717
Times	560873	183157	262555
Times	475152	189476	247636
Times	473673	165438	232558
Times	603752	170478	247558
Times	470474	173638	229476
cov: 0.038700176955885277	mean: 4723.2	iteration: 12
algorithm 3
Times	5623287	258119	246797
Times	3851987	211438	231956
Times	3265238	203038	227037
Times	3233476	212837	238318
Times	2793564	194637	232798
Times	2741404	192676	243316
Times	1288504	190200	226438
Times	1144585	457915	257397
Times	827911	183997	256716
Times	545953	186236	228558
Times	539033	186158	234277
Times	547432	187080	228678
Times	528274	191116	262876
cov: 0.013964989119278475	mean: 4672.2	iteration: 12
algorithm 3
Times	5759608	260036	261797
Times	3879986	215997	254635
Times	3462436	217556	239476
Times	3622672	216318	255598
Times	3039118	200116	272316
Times	2906319	194273	252356
Times	1382500	201356	230677
Times	1074785	183159	228357
Times	919906	197358	243076
Times	552192	193719	237396
Times	508114	197515	247597
Times	568991	194559	245077
Times	611110	212198	238715
Times	1121665	207320	238316
Times	1023065	189159	228116
Times	1011426	195158	236716
Times	1021825	198876	249155
Times	1077384	222359	250116
Times	1172903	223156	234836
Times	649231	193398	230477
Times	623231	208958	235556
Times	795069	207316	254277
Times	601071	198476	261597
Times	591870	203558	260436
Times	596991	183117	233998
Times	539031	193276	232796
Times	480633	181276	228278
Times	550552	177958	244635
Times	490075	165238	230836
Times	494953	167118	231638
cov: 0.03782330923674114	mean: 4975.8	iteration: 12
