algorithm 1
Times	8264488	1238867	163997
Times	5511005	1265663	94918
Times	1216702	1255065	81678
Times	1120508	1197025	77878
Times	997546	1182142	76399
Times	1057026	1185226	79119
Times	1024429	1113671	61880
Times	1034268	1098587	75080
Times	847868	1061905	69839
Times	831069	1040666	60479
Times	823267	1050751	67000
Times	794668	1040590	62160
Times	797589	1079146	78719
cov: 0.015429402785731086	mean: 1317.6	iteration: 12
algorithm 1
Times	8567162	1245583	186558
Times	5801321	1255549	86679
Times	1242821	1243254	107959
Times	1247984	1196134	73879
Times	997507	1187741	85120
Times	1105864	1170141	76639
Times	1065185	1075261	71678
Times	890349	1033265	70799
Times	856348	1055867	69479
Times	798431	1148060	71518
Times	793751	1183342	93799
Times	809990	1019386	78239
Times	861788	1097187	138678
Times	416795	997829	61719
Times	261516	756149	54720
Times	259718	771672	61199
Times	281916	789708	64319
Times	281794	769269	66960
Times	289396	773868	62759
cov: 0.015588667919171411	mean: 964.8	iteration: 18
algorithm 1
Times	8121889	1203788	147157
Times	5406363	1223785	85000
Times	1199863	1206899	73958
Times	1113385	1153658	69958
Times	990186	1172745	69360
Times	1012906	1167668	69239
Times	1114465	1145580	80158
Times	945987	1086829	67960
Times	837830	1070624	70439
Times	836311	1046903	67840
Times	801307	1056909	82119
Times	812510	1028670	69919
Times	808150	1118749	131959
Times	329315	960710	54400
Times	323235	776865	54639
Times	260276	790914	54119
Times	277355	787187	54840
Times	276236	784269	55639
Times	267916	794266	54999
cov: 0.008184402748144163	mean: 982.8	iteration: 18
algorithm 1
Times	8367646	1240986	160398
Times	10842813	1227944	87879
Times	1178786	1630257	84078
Times	1138585	1169539	86600
Times	1011387	1249184	87679
Times	1015387	1137781	77278
Times	1030346	1137308	73959
Times	912386	1046266	79038
Times	840707	1020265	60439
Times	783150	1040065	61320
Times	807548	1076625	72039
Times	802350	1039701	72278
Times	876748	1100507	85679
Times	811389	1164746	71160
Times	1430220	750506	54039
Times	259356	763024	61079
Times	284876	774947	63240
Times	307435	764029	60279
Times	303475	771345	56959
cov: 0.012172303075425155	mean: 955.6	iteration: 18
